id;t-cell GSM1313610;pancreatic - GSM524168;muscle - GSM624967;artery_GSM346560;liver - GSM391702
hsa:1;7,571818112;1,03562391;6,928370323;Nan;Nan
hsa:2;9,505102931;5,258397935;12,07440014;12,69781247;16,12775659
hsa:9;6,691548123;7,220039684;8,725877459;7,525802665;10,30183911
hsa:10;6,824856937;3,842978832;6,329123596;7,752447553;11,5915691
hsa:12;7,048650343;8,202956379;5,82527683;8,54521162;17,13535859
hsa:13;7,113085773;3,926948248;9,746010382;6,36252775;14,30708694
hsa:14;7,566465091;7,398866988;10,98413359;9,860089085;11,23697089
hsa:15;6,590054034;3,941106311;8,932805294;6,986558838;6,548436625
hsa:16;8,123236808;10,50006506;12,48416835;9,802219071;12,55643421
hsa:18;6,673645991;9,452063614;9,322720749;7,085970651;13,03824655
hsa:19;7,491869126;4,741958468;9,641058473;7,94229425;10,54947406
hsa:20;6,717570657;4,922309954;8,521175083;7,658516292;7,565729888
hsa:21;6,865349738;10,24218566;8,596562497;7,610877199;8,235535607
hsa:22;7,994325148;8,106484424;10,92637013;7,986792039;9,759222426
hsa:23;7,232161294;7,862272744;12,41571536;9,24480621;11,78107279
hsa:24;6,547466795;4,367115915;9,560525808;7,698419919;7,105384749
hsa:25;7,221519568;9,137119232;10,41076932;10,6119285;10,45809897
hsa:26;6,631667452;4,178714641;9,956811732;7,615894429;9,925999419
hsa:27;7,31360108;5,080783289;8,473302485;6,89772447;9,141085319
hsa:28;6,786099697;5,004447722;8,584787771;6,810135633;7,898178915
hsa:29;7,052354354;4,312069858;9,885277913;8,981561135;7,748839224
hsa:30;6,975309185;8,876854385;11,52012811;8,528199028;14,95176563
hsa:31;7,103803633;8,212247467;8,334938296;8,401106962;7,203663444
hsa:32;9,193658412;4,924675961;10,65194849;8,258976654;12,42513654
hsa:33;6,631991866;4,864352608;10,58363702;9,244262233;9,830923463
hsa:34;7,598897962;10,61366056;16,44436463;10,09921629;13,24500298
hsa:35;6,701257938;6,899054756;12,19850643;7,538840763;13,55173229
hsa:36;6,589130697;5,707275446;11,3018398;7,268041327;10,51865316
hsa:37;8,705918394;7,075884231;14,68140314;9,981809851;14,26002271
hsa:38;7,446975743;4,950695767;10,08148695;10,01393675;16,23498579
hsa:39;7,256182665;8,337354298;10,02583167;8,341870142;11,73360855
hsa:40;6,832289092;7,85847839;8,207990433;7,877173684;8,134939643
hsa:41;6,636916667;4,17951105;7,399737005;7,166461189;7,559596969
hsa:43;6,674757287;;10,22327519;6,845818726;6,855006527
hsa:47;8,055158661;4,800318734;8,785182257;8,581327661;8,468410492
hsa:48;7,360996283;8,546277132;10,82373958;9,426790991;12,98623315
hsa:49;Nan;1,448900951;Nan;Nan;Nan
hsa:50;7,053035289;6,325851373;13,01580963;8,106935207;8,719474805
hsa:51;7,07852154;4,953474063;8,465755044;7,013282879;8,89226929
hsa:52;8,148963758;6,406083489;10,8691917;8,700233161;9,468060413
hsa:53;7,20856603;8,929140029;11,26860048;8,081914784;11,99176983
hsa:54;7,023044611;5,701826258;7,566815154;7,327507735;11,09374766
hsa:55;6,614770201;6,368598201;6,192206756;6,510874912;6,085339669
hsa:56;Nan;2,742006211;9,713943098;8,126195906;9,126666637
hsa:58;6,528544753;1,042644337;19,17371129;9,279037103;6,173926932
hsa:59;7,324270572;2,426288007;8,940213189;9,577579151;9,555966691
hsa:60;Nan;8,044120856;Nan;Nan;Nan
hsa:70;6,667311469;7,752882366;14,75200947;12,29146427;9,174176684
hsa:71;Nan;Nan;14,17829287;13,20019813;15,89550654
hsa:72;6,593730233;3,550731935;13,2062352;12,34723102;8,656067274
hsa:81;8,361149854;7,939109013;11,83557675;12,17074505;12,95275944
hsa:86;7,385205882;8,042042359;11,0439842;7,753190001;7,84862294
hsa:87;7,991232711;;9,470060059;12,09428441;12,27921007
hsa:88;6,531379901;3,622765966;16,0951461;8,996341206;6,601074007
hsa:89;6,671095186;2,748461233;16,74004424;7,361215665;9,089318057
hsa:90;6,579863492;8,465117406;12,72287155;9,18598049;9,037546954
hsa:91;6,787061728;2,881451777;8,530054323;7,700448808;8,923029959
hsa:92;6,903664261;5,731951664;11,46639398;8,227360832;10,28297256
hsa:93;6,673373323;;10,15370919;7,905645734;9,193525361
hsa:94;8,213588006;6,09687774;9,843641827;7,339324481;6,528258743
hsa:95;Nan;Nan;11,72974818;8,258198541;10,30023815
hsa:97;7,234197371;8,018616723;11,76341987;7,458505045;6,394033895
hsa:100;7,393381876;4,120186028;10,093211;6,963681433;6,843260239
hsa:98;Nan;Nan;15,67132268;8,056621459;10,14287289
hsa:101;6,56151555;4,131522338;8,785480692;6,727660326;7,44223777
hsa:102;6,9927332;7,297997469;9,882418669;7,993459384;8,677777317
hsa:103;8,177872369;11,82127971;10,65132083;10,71808758;12,80487719
hsa:104;6,969848321;4,794987299;8,925246344;8,784496183;8,472791114
